DonorZipCode,County,TransactionAmount
90001,Los Angeles,350
90001,Los Angeles,500
90001,Los Angeles,500
90001,Los Angeles,500
90001,Los Angeles,500
90001,Los Angeles,500
90001,Los Angeles,500
90001,Los Angeles,1000
90001,Los Angeles,60
90001,Los Angeles,200
90001,Los Angeles,4100
90002,Los Angeles,4100
90002,Los Angeles,4100
90002,Los Angeles,1000
90003,Los Angeles,99
90004,Los Angeles,100
90004,Los Angeles,700
90004,Los Angeles,130
90004,Los Angeles,700
90004,Los Angeles,700
90004,Los Angeles,1300
90004,Los Angeles,500
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,-500
90004,Los Angeles,150
90004,Los Angeles,500
90004,Los Angeles,1300
90004,Los Angeles,750
90004,Los Angeles,250
90004,Los Angeles,1000
90004,Los Angeles,500
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,1300
90004,Los Angeles,200
90004,Los Angeles,1300
90004,Los Angeles,1300
90004,Los Angeles,1300
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,5000
90004,Los Angeles,100
90004,Los Angeles,750
90004,Los Angeles,2000
90004,Los Angeles,4100
90004,Los Angeles,500
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,300
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,300
90004,Los Angeles,250
90004,Los Angeles,250
90004,Los Angeles,250
90004,Los Angeles,5000
90004,Los Angeles,250
90004,Los Angeles,250
90004,Los Angeles,1000
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,12500
90004,Los Angeles,1500
90004,Los Angeles,1000
90004,Los Angeles,1000
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,6500
90004,Los Angeles,500
90004,Los Angeles,1353.55
90004,Los Angeles,5000
90004,Los Angeles,5000
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,200
90004,Los Angeles,500
90004,Los Angeles,150
90004,Los Angeles,150
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,175
90004,Los Angeles,500
90004,Los Angeles,150
90004,Los Angeles,8200
90004,Los Angeles,500
90004,Los Angeles,200
90004,Los Angeles,150
90004,Los Angeles,8200
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,101
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,2100
90004,Los Angeles,750
90004,Los Angeles,750
90004,Los Angeles,100
90004,Los Angeles,2000
90004,Los Angeles,250
90004,Los Angeles,400
90004,Los Angeles,10000
90004,Los Angeles,5000
90004,Los Angeles,100
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,6800
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,250
90004,Los Angeles,1000
90004,Los Angeles,100
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,6800
90004,Los Angeles,500
90004,Los Angeles,250
90004,Los Angeles,2500
90004,Los Angeles,6800
90004,Los Angeles,6800
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,500
90004,Los Angeles,100
90004,Los Angeles,500
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,150
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,250
90004,Los Angeles,8200
90004,Los Angeles,100
90004,Los Angeles,100
90004,Los Angeles,1000
90004,Los Angeles,500
90004,Los Angeles,1000
90004,Los Angeles,250
90004,Los Angeles,250
90004,Los Angeles,100
90004,Los Angeles,2100
90004,Los Angeles,100
90004,Los Angeles,200
90004,Los Angeles,150
90004,Los Angeles,500
90004,Los Angeles,300
90004,Los Angeles,250
90004,Los Angeles,7500
90004,Los Angeles,500
90004,Los Angeles,2500
90004,Los Angeles,100
90004,Los Angeles,200
90004,Los Angeles,500
90004,Los Angeles,1000
90004,Los Angeles,250
90004,Los Angeles,500
90004,Los Angeles,3500
90004,Los Angeles,1500
90004,Los Angeles,500
90004,Los Angeles,500
90004,Los Angeles,1500
90004,Los Angeles,1500
90004,Los Angeles,500
90004,Los Angeles,1000
90004,Los Angeles,10000
90004,Los Angeles,6800
90004,Los Angeles,100
90005,Los Angeles,1300
90005,Los Angeles,1300
90005,Los Angeles,500
90005,Los Angeles,250
